RBCH P
9/0/0/0 0
8/1/0/0 0
8/0/0/1 0
8/0/1/0 5
7/2/0/0 0
7/1/0/1 12
7/1/1/0 6
7/0/0/2 0
7/0/1/1 5
7/0/2/0 10
6/3/0/0 0
6/2/0/1 13
6/2/1/0 5
6/1/0/2 14
6/1/1/1 10
6/1/2/0 9
6/0/0/3 0
6/0/1/2 6
6/0/2/1 9
6/0/3/0 14
5/4/0/0 0
5/3/0/1 18
5/3/1/0 3
5/2/0/2 11
5/2/1/1 16
5/2/2/0 7
5/1/0/3 8
5/1/1/2 20
5/1/2/1 21
5/1/3/0 12
5/0/0/4 0
5/0/1/3 3
5/0/2/2 12
5/0/3/1 15
5/0/4/0 19
4/5/0/0 1
4/4/0/1 17
4/4/1/0 4
4/3/0/2 33
4/3/1/1 25
4/3/2/0 10
4/2/0/3 24
4/2/1/2 22
4/2/2/1 23
4/2/3/0 10
4/1/0/4 9
4/1/1/3 23
4/1/2/2 25
4/1/3/1 24
4/1/4/0 15
4/0/0/5 0
4/0/1/4 8
4/0/2/3 9
4/0/3/2 14
4/0/4/1 19
4/0/5/0 18
3/6/0/0 0
3/5/0/1 15
3/5/1/0 3
3/4/0/2 15
3/4/1/1 21
3/4/2/0 10
3/3/0/3 32
3/3/1/2 35
3/3/2/1 24
3/3/3/0 14
3/2/0/4 20
3/2/1/3 30
3/2/2/2 36
3/2/3/1 34
3/2/4/0 15
3/1/0/5 20
3/1/1/4 20
3/1/2/3 32
3/1/3/2 25
3/1/4/1 26
3/1/5/0 23
3/0/0/6 0
3/0/1/5 5
3/0/2/4 9
3/0/3/3 16
3/0/4/2 21
3/0/5/1 17
3/0/6/0 25
2/7/0/0 0
2/6/0/1 20
2/6/1/0 5
2/5/0/2 21
2/5/1/1 15
2/5/2/0 9
2/4/0/3 37
2/4/1/2 31
2/4/2/1 32
2/4/3/0 13
2/3/0/4 33
2/3/1/3 22
2/3/2/2 41
2/3/3/1 35
2/3/4/0 15
2/2/0/5 33
2/2/1/4 24
2/2/2/3 30
2/2/3/2 20
2/2/4/1 28
2/2/5/0 21
2/1/0/6 18
2/1/1/5 22
2/1/2/4 21
2/1/3/3 23
2/1/4/2 34
2/1/5/1 36
2/1/6/0 28
2/0/0/7 0
2/0/1/6 4
2/0/2/5 9
2/0/3/4 18
2/0/4/3 20
2/0/5/2 26
2/0/6/1 33
2/0/7/0 31
1/8/0/0 0
1/7/0/1 8
1/7/1/0 4
1/6/0/2 30
1/6/1/1 34
1/6/2/0 8
1/5/0/3 36
1/5/1/2 32
1/5/2/1 27
1/5/3/0 12
1/4/0/4 26
1/4/1/3 33
1/4/2/2 41
1/4/3/1 28
1/4/4/0 14
1/3/0/5 31
1/3/1/4 41
1/3/2/3 39
1/3/3/2 48
1/3/4/1 35
1/3/5/0 25
1/2/0/6 30
1/2/1/5 34
1/2/2/4 39
1/2/3/3 40
1/2/4/2 35
1/2/5/1 34
1/2/6/0 26
1/1/0/7 19
1/1/1/6 25
1/1/2/5 25
1/1/3/4 24
1/1/4/3 35
1/1/5/2 39
1/1/6/1 30
1/1/7/0 28
1/0/0/8 0
1/0/1/7 3
1/0/2/6 8
1/0/3/5 13
1/0/4/4 16
1/0/5/3 25
1/0/6/2 29
1/0/7/1 24
1/0/8/0 27
0/9/0/0 0
0/8/0/1 18
0/8/1/0 4
0/7/0/2 9
0/7/1/1 14
0/7/2/0 10
0/6/0/3 48
0/6/1/2 38
0/6/2/1 23
0/6/3/0 13
0/5/0/4 38
0/5/1/3 30
0/5/2/2 24
0/5/3/1 30
0/5/4/0 18
0/4/0/5 34
0/4/1/4 32
0/4/2/3 39
0/4/3/2 55
0/4/4/1 27
0/4/5/0 21
0/3/0/6 44
0/3/1/5 34
0/3/2/4 30
0/3/3/3 28
0/3/4/2 41
0/3/5/1 35
0/3/6/0 23
0/2/0/7 29
0/2/1/6 32
0/2/2/5 29
0/2/3/4 52
0/2/4/3 51
0/2/5/2 57
0/2/6/1 33
0/2/7/0 27
0/1/0/8 17
0/1/1/7 26
0/1/2/6 27
0/1/3/5 26
0/1/4/4 34
0/1/5/3 36
0/1/6/2 42
0/1/7/1 45
0/1/8/0 34
0/0/0/9 0
0/0/1/8 4
0/0/2/7 8
0/0/3/6 13
0/0/4/5 21
0/0/5/4 21
0/0/6/3 25
0/0/7/2 24
0/0/8/1 33
0/0/9/0 38
