RBCH P
6/0/0/0 0
5/1/0/0 0
5/0/0/1 0
5/0/1/0 9
4/2/0/0 0
4/1/0/1 13
4/1/1/0 8
4/0/0/2 0
4/0/1/1 10
4/0/2/0 20
3/3/0/0 1
3/2/0/1 36
3/2/1/0 11
3/1/0/2 9
3/1/1/1 21
3/1/2/0 20
3/0/0/3 0
3/0/1/2 12
3/0/2/1 24
3/0/3/0 22
2/4/0/0 1
2/3/0/1 13
2/3/1/0 9
2/2/0/2 31
2/2/1/1 27
2/2/2/0 19
2/1/0/3 11
2/1/1/2 23
2/1/2/1 27
2/1/3/0 23
2/0/0/4 0
2/0/1/3 5
2/0/2/2 5
2/0/3/1 13
2/0/4/0 28
1/5/0/0 2
1/4/0/1 14
1/4/1/0 11
1/3/0/2 20
1/3/1/1 26
1/3/2/0 15
1/2/0/3 24
1/2/1/2 35
1/2/2/1 38
1/2/3/0 30
1/1/0/4 21
1/1/1/3 26
1/1/2/2 34
1/1/3/1 33
1/1/4/0 31
1/0/0/5 0
1/0/1/4 4
1/0/2/3 24
1/0/3/2 27
1/0/4/1 33
1/0/5/0 39
0/6/0/0 1
0/5/0/1 24
0/5/1/0 14
0/4/0/2 20
0/4/1/1 21
0/4/2/0 19
0/3/0/3 21
0/3/1/2 58
0/3/2/1 27
0/3/3/0 23
0/2/0/4 26
0/2/1/3 33
0/2/2/2 45
0/2/3/1 43
0/2/4/0 30
0/1/0/5 19
0/1/1/4 21
0/1/2/3 34
0/1/3/2 42
0/1/4/1 40
0/1/5/0 32
0/0/0/6 0
0/0/1/5 8
0/0/2/4 17
0/0/3/3 21
0/0/4/2 24
0/0/5/1 38
0/0/6/0 45
