RBCH P
6/0/0/0 0
5/1/0/0 0
5/0/0/1 0
5/0/1/0 8
4/2/0/0 0
4/1/0/1 13
4/1/1/0 9
4/0/0/2 0
4/0/1/1 8
4/0/2/0 16
3/3/0/0 1
3/2/0/1 26
3/2/1/0 9
3/1/0/2 13
3/1/1/1 27
3/1/2/0 14
3/0/0/3 0
3/0/1/2 8
3/0/2/1 19
3/0/3/0 23
2/4/0/0 1
2/3/0/1 15
2/3/1/0 8
2/2/0/2 32
2/2/1/1 18
2/2/2/0 16
2/1/0/3 23
2/1/1/2 30
2/1/2/1 33
2/1/3/0 17
2/0/0/4 0
2/0/1/3 8
2/0/2/2 17
2/0/3/1 27
2/0/4/0 29
1/5/0/0 0
1/4/0/1 11
1/4/1/0 7
1/3/0/2 28
1/3/1/1 36
1/3/2/0 14
1/2/0/3 21
1/2/1/2 39
1/2/2/1 33
1/2/3/0 21
1/1/0/4 21
1/1/1/3 24
1/1/2/2 23
1/1/3/1 29
1/1/4/0 33
1/0/0/5 0
1/0/1/4 8
1/0/2/3 14
1/0/3/2 20
1/0/4/1 25
1/0/5/0 39
0/6/0/0 1
0/5/0/1 20
0/5/1/0 10
0/4/0/2 28
0/4/1/1 35
0/4/2/0 10
0/3/0/3 47
0/3/1/2 45
0/3/2/1 39
0/3/3/0 21
0/2/0/4 31
0/2/1/3 46
0/2/2/2 30
0/2/3/1 44
0/2/4/0 24
0/1/0/5 23
0/1/1/4 19
0/1/2/3 30
0/1/3/2 38
0/1/4/1 44
0/1/5/0 38
0/0/0/6 0
0/0/1/5 4
0/0/2/4 12
0/0/3/3 19
0/0/4/2 26
0/0/5/1 33
0/0/6/0 33
