RBCH P
5/0/0/0 0
4/1/0/0 0
4/0/0/1 0
4/0/1/0 12
3/2/0/0 0
3/1/0/1 7
3/1/1/0 13
3/0/0/2 0
3/0/1/1 5
3/0/2/0 21
2/3/0/0 0
2/2/0/1 19
2/2/1/0 12
2/1/0/2 23
2/1/1/1 34
2/1/2/0 16
2/0/0/3 0
2/0/1/2 12
2/0/2/1 17
2/0/3/0 28
1/4/0/0 1
1/3/0/1 22
1/3/1/0 7
1/2/0/2 23
1/2/1/1 21
1/2/2/0 24
1/1/0/3 12
1/1/1/2 29
1/1/2/1 45
1/1/3/0 26
1/0/0/4 0
1/0/1/3 8
1/0/2/2 16
1/0/3/1 31
1/0/4/0 29
0/5/0/0 0
0/4/0/1 16
0/4/1/0 11
0/3/0/2 36
0/3/1/1 40
0/3/2/0 21
0/2/0/3 29
0/2/1/2 34
0/2/2/1 36
0/2/3/0 28
0/1/0/4 25
0/1/1/3 32
0/1/2/2 24
0/1/3/1 39
0/1/4/0 32
0/0/0/5 0
0/0/1/4 8
0/0/2/3 21
0/0/3/2 20
0/0/4/1 29
0/0/5/0 35
