RBCH P
8/0/0/0 0
7/1/0/0 0
7/0/0/1 0
7/0/1/0 4
6/2/0/0 0
6/1/0/1 10
6/1/1/0 3
6/0/0/2 0
6/0/1/1 5
6/0/2/0 9
5/3/0/0 0
5/2/0/1 9
5/2/1/0 3
5/1/0/2 14
5/1/1/1 17
5/1/2/0 7
5/0/0/3 0
5/0/1/2 4
5/0/2/1 9
5/0/3/0 13
4/4/0/0 0
4/3/0/1 9
4/3/1/0 4
4/2/0/2 21
4/2/1/1 17
4/2/2/0 9
4/1/0/3 16
4/1/1/2 18
4/1/2/1 24
4/1/3/0 14
4/0/0/4 0
4/0/1/3 7
4/0/2/2 9
4/0/3/1 13
4/0/4/0 16
3/5/0/0 1
3/4/0/1 15
3/4/1/0 5
3/3/0/2 18
3/3/1/1 12
3/3/2/0 10
3/2/0/3 29
3/2/1/2 35
3/2/2/1 24
3/2/3/0 12
3/1/0/4 17
3/1/1/3 15
3/1/2/2 22
3/1/3/1 27
3/1/4/0 17
3/0/0/5 0
3/0/1/4 4
3/0/2/3 5
3/0/3/2 15
3/0/4/1 24
3/0/5/0 23
2/6/0/0 1
2/5/0/1 21
2/5/1/0 3
2/4/0/2 38
2/4/1/1 20
2/4/2/0 8
2/3/0/3 36
2/3/1/2 17
2/3/2/1 30
2/3/3/0 15
2/2/0/4 24
2/2/1/3 36
2/2/2/2 34
2/2/3/1 29
2/2/4/0 18
2/1/0/5 17
2/1/1/4 24
2/1/2/3 30
2/1/3/2 34
2/1/4/1 34
2/1/5/0 24
2/0/0/6 0
2/0/1/5 5
2/0/2/4 8
2/0/3/3 17
2/0/4/2 20
2/0/5/1 15
2/0/6/0 19
1/7/0/0 0
1/6/0/1 10
1/6/1/0 4
1/5/0/2 22
1/5/1/1 17
1/5/2/0 9
1/4/0/3 31
1/4/1/2 22
1/4/2/1 21
1/4/3/0 12
1/3/0/4 30
1/3/1/3 35
1/3/2/2 33
1/3/3/1 31
1/3/4/0 17
1/2/0/5 27
1/2/1/4 29
1/2/2/3 29
1/2/3/2 32
1/2/4/1 26
1/2/5/0 19
1/1/0/6 22
1/1/1/5 23
1/1/2/4 28
1/1/3/3 33
1/1/4/2 30
1/1/5/1 39
1/1/6/0 22
1/0/0/7 0
1/0/1/6 2
1/0/2/5 11
1/0/3/4 19
1/0/4/3 18
1/0/5/2 24
1/0/6/1 31
1/0/7/0 30
0/8/0/0 0
0/7/0/1 6
0/7/1/0 5
0/6/0/2 33
0/6/1/1 20
0/6/2/0 9
0/5/0/3 24
0/5/1/2 22
0/5/2/1 20
0/5/3/0 15
0/4/0/4 23
0/4/1/3 35
0/4/2/2 31
0/4/3/1 34
0/4/4/0 18
0/3/0/5 34
0/3/1/4 43
0/3/2/3 36
0/3/3/2 33
0/3/4/1 40
0/3/5/0 21
0/2/0/6 32
0/2/1/5 35
0/2/2/4 40
0/2/3/3 35
0/2/4/2 44
0/2/5/1 37
0/2/6/0 25
0/1/0/7 20
0/1/1/6 28
0/1/2/5 26
0/1/3/4 39
0/1/4/3 43
0/1/5/2 43
0/1/6/1 36
0/1/7/0 31
0/0/0/8 0
0/0/1/7 7
0/0/2/6 6
0/0/3/5 13
0/0/4/4 20
0/0/5/3 23
0/0/6/2 22
0/0/7/1 34
0/0/8/0 35
