RBCH P
5/1/2/1 19
4/0/5/0 22
0/1/1/7 26
3/1/3/2 38
2/0/2/5 14
4/0/3/2 11
3/3/2/1 29
5/3/1/0 5
4/1/3/1 19
3/2/3/1 34
1/1/0/7 17
3/0/2/4 9
6/1/1/1 19
1/0/5/3 16
2/1/2/4 21
4/3/0/2 21
0/0/2/7 9
5/0/1/3 7
0/1/6/2 38
1/1/5/2 32
1/3/3/2 28
2/1/4/2 35
1/3/1/4 38
1/2/0/6 31
3/3/3/0 15
1/6/2/0 7
0/0/7/2 34
1/1/3/4 35
2/6/0/1 16
0/5/3/1 23
1/0/8/0 31
7/1/1/0 5
2/2/3/2 32
1/1/4/3 28
5/4/0/0 1
3/2/4/0 17
1/0/7/1 27
6/0/1/2 6
4/1/0/4 16
3/1/4/1 27
0/2/6/1 37
2/0/4/3 21
0/3/2/4 54
0/1/5/3 36
1/3/4/1 38
3/4/0/2 23
1/3/0/5 36
4/0/0/5 0
1/5/0/3 29
0/5/1/3 40
0/6/1/2 23
0/1/7/1 39
3/5/1/0 3
4/0/2/3 10
0/9/0/0 1
3/3/0/3 18
0/0/0/9 0
0/2/4/3 48
0/8/0/1 25
5/3/0/1 13
2/3/1/3 37
0/8/1/0 6
1/0/6/2 26
2/4/1/2 15
0/0/9/0 31
2/2/0/5 27
2/0/6/1 28
2/1/1/5 26
0/4/0/5 27
1/5/2/1 13
8/0/1/0 5
2/2/5/0 23
4/5/0/0 0
1/1/2/5 27
6/2/0/1 27
1/0/0/8 0
2/3/2/2 41
3/6/0/0 0
6/2/1/0 4
0/1/4/4 34
1/4/3/1 27
2/0/0/7 0
3/2/1/3 33
1/1/1/6 26
9/0/0/0 0
4/2/2/1 29
2/4/3/0 12
4/2/0/3 25
1/0/2/6 11
3/3/1/2 32
8/0/0/1 0
2/2/4/1 32
3/0/6/0 21
1/2/4/2 43
3/0/4/2 20
7/0/1/1 4
5/2/2/0 10
3/4/2/0 9
5/0/4/0 17
5/2/1/1 13
1/2/2/4 37
1/6/1/1 10
3/2/2/2 37
2/7/0/0 0
6/1/2/0 8
6/1/0/2 13
0/2/3/4 27
7/2/0/0 0
2/1/5/1 28
1/5/1/2 35
