RBCH P
11/0/0/0 0
10/1/0/0 0
10/0/0/1 0
10/0/1/0 5
9/2/0/0 0
9/1/0/1 8
9/1/1/0 4
9/0/0/2 0
9/0/1/1 5
9/0/2/0 7
8/3/0/0 0
8/2/0/1 16
8/2/1/0 3
8/1/0/2 10
8/1/1/1 15
8/1/2/0 8
8/0/0/3 0
8/0/1/2 10
8/0/2/1 7
8/0/3/0 11
7/4/0/0 0
7/3/0/1 17
7/3/1/0 6
7/2/0/2 13
7/2/1/1 11
7/2/2/0 9
7/1/0/3 20
7/1/1/2 18
7/1/2/1 22
7/1/3/0 12
7/0/0/4 0
7/0/1/3 3
7/0/2/2 9
7/0/3/1 12
7/0/4/0 16
6/5/0/0 0
6/4/0/1 16
6/4/1/0 5
6/3/0/2 20
6/3/1/1 27
6/3/2/0 10
6/2/0/3 23
6/2/1/2 31
6/2/2/1 23
6/2/3/0 13
6/1/0/4 13
6/1/1/3 16
6/1/2/2 29
6/1/3/1 26
6/1/4/0 14
6/0/0/5 0
6/0/1/4 5
6/0/2/3 8
6/0/3/2 17
6/0/4/1 17
6/0/5/0 21
5/6/0/0 1
5/5/0/1 13
5/5/1/0 3
5/4/0/2 22
5/4/1/1 23
5/4/2/0 9
5/3/0/3 31
5/3/1/2 25
5/3/2/1 22
5/3/3/0 12
5/2/0/4 27
5/2/1/3 11
5/2/2/2 28
5/2/3/1 30
5/2/4/0 19
5/1/0/5 15
5/1/1/4 26
5/1/2/3 26
5/1/3/2 28
5/1/4/1 28
5/1/5/0 19
5/0/0/6 0
5/0/1/5 4
5/0/2/4 14
5/0/3/3 17
5/0/4/2 15
5/0/5/1 23
5/0/6/0 28
4/7/0/0 1
4/6/0/1 5
4/6/1/0 4
4/5/0/2 46
4/5/1/1 19
4/5/2/0 9
4/4/0/3 31
4/4/1/2 35
4/4/2/1 20
4/4/3/0 15
4/3/0/4 30
4/3/1/3 33
4/3/2/2 37
4/3/3/1 27
4/3/4/0 15
4/2/0/5 30
4/2/1/4 27
4/2/2/3 33
4/2/3/2 40
4/2/4/1 33
4/2/5/0 23
4/1/0/6 20
4/1/1/5 23
4/1/2/4 17
4/1/3/3 30
4/1/4/2 33
4/1/5/1 35
4/1/6/0 26
4/0/0/7 0
4/0/1/6 3
4/0/2/5 8
4/0/3/4 12
4/0/4/3 16
4/0/5/2 28
4/0/6/1 24
4/0/7/0 30
3/8/0/0 0
3/7/0/1 22
3/7/1/0 5
3/6/0/2 20
3/6/1/1 20
3/6/2/0 8
3/5/0/3 22
3/5/1/2 32
3/5/2/1 26
3/5/3/0 15
3/4/0/4 31
3/4/1/3 23
