RBCH P
6/0/2/2 7
2/0/5/3 23
3/4/1/2 34
2/3/0/5 29
0/6/0/4 61
0/4/6/0 28
1/5/3/1 26
0/0/10/0 41
2/1/4/3 39
1/4/0/5 25
4/1/1/4 23
6/3/1/0 5
1/7/0/2 26
0/2/3/5 46
7/1/0/2 13
2/2/4/2 46
2/0/3/5 18
2/0/1/7 5
2/1/3/4 35
1/2/3/4 39
6/0/1/3 4
1/6/0/3 32
4/2/1/3 35
4/0/0/6 0
1/5/1/3 48
5/0/4/1 21
0/8/2/0 11
0/2/1/7 34
3/0/3/4 17
2/2/5/1 39
1/2/6/1 36
0/1/2/7 26
3/5/2/0 9
0/2/6/2 47
3/0/1/6 2
1/5/4/0 18
5/1/1/3 25
1/6/3/0 11
5/2/3/0 14
2/6/2/0 9
1/0/8/1 31
9/0/0/1 0
0/7/3/0 16
3/0/4/3 19
4/1/2/3 21
4/1/4/1 29
4/1/0/5 12
7/0/1/2 6
0/1/8/1 43
4/0/1/5 2
9/1/0/0 1
4/2/0/4 23
1/1/6/2 40
2/8/0/0 0
2/0/8/0 36
0/5/4/1 29
0/1/4/5 31
0/1/5/4 39
2/2/3/3 37
2/1/5/2 36
3/4/2/1 21
0/6/2/2 37
5/1/0/4 15
0/4/3/3 44
2/3/4/1 36
0/4/5/1 34
0/0/7/3 30
2/4/1/3 28
2/0/2/6 10
4/1/5/0 20
3/2/4/1 31
4/0/6/0 24
2/3/1/4 32
5/3/0/2 26
6/1/0/3 16
0/3/5/2 61
0/1/9/0 38
0/3/0/7 33
1/1/2/6 30
3/2/1/4 29
6/0/3/1 12
5/4/1/0 5
4/4/1/1 15
4/4/0/2 21
1/0/4/5 21
1/0/0/9 0
0/6/4/0 19
0/0/4/6 18
4/2/3/1 29
0/0/8/2 38
0/0/6/4 26
1/8/0/1 11
4/1/3/2 30
1/6/2/1 33
3/7/0/0 0
0/5/1/4 59
7/1/2/0 10
5/0/3/2 8
0/3/7/0 30
8/1/0/1 11
2/0/0/8 0
0/1/0/9 17
4/3/2/1 27
0/4/4/2 32
3/0/6/1 27
0/2/4/4 45
2/4/2/2 37
2/0/6/2 24
1/1/5/3 50
5/1/2/2 24
1/2/1/6 33
0/1/6/3 45
6/2/0/2 11
6/1/1/2 18
0/0/9/1 36
5/0/5/0 21
2/3/2/3 51
2/6/0/2 18
3/1/2/4 24
3/3/2/2 50
7/0/0/3 0
1/7/2/0 10
10/0/0/0 0
0/1/3/6 26
4/3/1/2 31
0/2/7/1 59
0/5/2/3 44
4/0/5/1 26
4/4/2/0 10
5/2/1/2 31
0/2/2/6 35
8/0/1/1 5
3/2/3/2 54
3/2/0/5 32
1/1/4/4 31
1/3/4/2 44
2/4/3/1 37
3/4/0/3 20
1/3/5/1 41
2/3/3/2 34
0/2/0/8 28
2/4/0/4 32
2/1/0/7 14
