RBCH P
5/0/0/0 0
4/1/0/0 0
4/0/0/1 0
4/0/1/0 6
3/2/0/0 0
3/1/0/1 13
3/1/1/0 5
3/0/0/2 0
3/0/1/1 6
3/0/2/0 10
2/3/0/0 0
2/2/0/1 19
2/2/1/0 6
2/1/0/2 18
2/1/1/1 21
2/1/2/0 7
2/0/0/3 0
2/0/1/2 6
2/0/2/1 9
2/0/3/0 12
1/4/0/0 0
1/3/0/1 23
1/3/1/0 3
1/2/0/2 33
1/2/1/1 21
1/2/2/0 9
1/1/0/3 15
1/1/1/2 23
1/1/2/1 25
1/1/3/0 12
1/0/0/4 0
1/0/1/3 6
1/0/2/2 13
1/0/3/1 14
1/0/4/0 20
0/5/0/0 0
0/4/0/1 25
0/4/1/0 4
0/3/0/2 27
0/3/1/1 36
0/3/2/0 10
0/2/0/3 26
0/2/1/2 29
0/2/2/1 27
0/2/3/0 11
0/1/0/4 14
0/1/1/3 26
0/1/2/2 26
0/1/3/1 30
0/1/4/0 19
0/0/0/5 0
0/0/1/4 4
0/0/2/3 12
0/0/3/2 15
0/0/4/1 18
0/0/5/0 15
