RBCH P
8/0/0/0 0
7/1/0/0 0
7/0/0/1 0
7/0/1/0 8
6/2/0/0 0
6/1/0/1 17
6/1/1/0 8
6/0/0/2 0
6/0/1/1 11
6/0/2/0 12
5/3/0/0 1
5/2/0/1 18
5/2/1/0 11
5/1/0/2 13
5/1/1/1 20
5/1/2/0 22
5/0/0/3 0
5/0/1/2 3
5/0/2/1 14
5/0/3/0 25
4/4/0/0 0
4/3/0/1 6
4/3/1/0 9
4/2/0/2 25
4/2/1/1 29
4/2/2/0 22
4/1/0/3 21
4/1/1/2 27
4/1/2/1 25
4/1/3/0 27
4/0/0/4 0
4/0/1/3 5
4/0/2/2 14
4/0/3/1 22
4/0/4/0 34
3/5/0/0 0
3/4/0/1 5
3/4/1/0 8
3/3/0/2 20
3/3/1/1 22
3/3/2/0 20
3/2/0/3 6
3/2/1/2 26
3/2/2/1 28
3/2/3/0 29
3/1/0/4 17
3/1/1/3 29
3/1/2/2 38
3/1/3/1 37
3/1/4/0 33
3/0/0/5 0
3/0/1/4 11
3/0/2/3 14
3/0/3/2 21
3/0/4/1 30
3/0/5/0 39
2/6/0/0 2
2/5/0/1 20
2/5/1/0 6
2/4/0/2 21
2/4/1/1 24
2/4/2/0 22
2/3/0/3 20
2/3/1/2 40
2/3/2/1 33
2/3/3/0 29
2/2/0/4 27
2/2/1/3 33
2/2/2/2 40
2/2/3/1 31
2/2/4/0 34
2/1/0/5 23
2/1/1/4 33
2/1/2/3 34
2/1/3/2 40
2/1/4/1 41
2/1/5/0 37
2/0/0/6 0
2/0/1/5 10
2/0/2/4 20
2/0/3/3 20
2/0/4/2 27
2/0/5/1 36
2/0/6/0 42
1/7/0/0 2
1/6/0/1 24
1/6/1/0 11
1/5/0/2 5
1/5/1/1 33
1/5/2/0 14
1/4/0/3 49
1/4/1/2 35
1/4/2/1 39
1/4/3/0 25
1/3/0/4 32
1/3/1/3 40
1/3/2/2 40
1/3/3/1 42
1/3/4/0 32
1/2/0/5 35
1/2/1/4 23
1/2/2/3 42
1/2/3/2 51
1/2/4/1 40
1/2/5/0 30
1/1/0/6 23
1/1/1/5 26
1/1/2/4 30
1/1/3/3 38
1/1/4/2 48
1/1/5/1 43
1/1/6/0 37
1/0/0/7 0
1/0/1/6 15
1/0/2/5 18
1/0/3/4 23
1/0/4/3 31
1/0/5/2 35
1/0/6/1 49
1/0/7/0 44
0/8/0/0 2
0/7/0/1 18
0/7/1/0 12
0/6/0/2 26
0/6/1/1 25
0/6/2/0 16
0/5/0/3 40
0/5/1/2 24
0/5/2/1 25
0/5/3/0 27
0/4/0/4 33
0/4/1/3 43
0/4/2/2 33
0/4/3/1 48
0/4/4/0 30
0/3/0/5 37
0/3/1/4 32
0/3/2/3 44
0/3/3/2 57
0/3/4/1 55
0/3/5/0 44
0/2/0/6 34
0/2/1/5 27
0/2/2/4 43
0/2/3/3 53
0/2/4/2 64
0/2/5/1 43
0/2/6/0 42
0/1/0/7 23
0/1/1/6 31
0/1/2/5 40
0/1/3/4 42
0/1/4/3 46
0/1/5/2 62
0/1/6/1 48
0/1/7/0 56
0/0/0/8 0
0/0/1/7 9
0/0/2/6 11
0/0/3/5 29
0/0/4/4 22
0/0/5/3 31
0/0/6/2 46
0/0/7/1 38
0/0/8/0 56
48/0/4113/0 56
